x	F_L1(x)	F_L2(x)	F_L3(x)
0.0	0.0	0.0	0.0
0.01	0.01031	0.05549	0.16104
0.02	0.01977	0.09769	0.25108
0.03	0.02998	0.1352	0.31997
0.04	0.0394	0.16907	0.37668
0.05	0.04935	0.19978	0.4254
0.06	0.05898	0.22859	0.4667
0.07	0.06949	0.25667	0.50415
0.08	0.07944	0.28192	0.53723
0.09	0.08975	0.30696	0.5684
0.1	0.09927	0.32958	0.59614
0.11	0.10899	0.35235	0.62207
0.12	0.11893	0.37387	0.64551
0.13	0.12914	0.39467	0.66693
0.14	0.13878	0.41425	0.68655
0.15	0.14914	0.4337	0.70526
0.16	0.1593	0.45215	0.72284
0.17	0.16901	0.47078	0.739
0.18	0.1791	0.4885	0.75445
0.19	0.18902	0.50462	0.76856
0.2	0.19912	0.52182	0.78153
0.21	0.20907	0.53773	0.79365
0.22	0.21904	0.55312	0.80507
0.23	0.22907	0.56818	0.81697
0.24	0.23957	0.5825	0.82782
0.25	0.24985	0.59671	0.83816
0.26	0.25942	0.60998	0.84724
0.27	0.269	0.62373	0.85642
0.28	0.27875	0.63645	0.86457
0.29	0.28919	0.64883	0.87261
0.3	0.29935	0.66078	0.8802
0.31	0.30931	0.67324	0.88784
0.32	0.31909	0.68471	0.89461
0.33	0.32948	0.69627	0.90109
0.34	0.33969	0.70769	0.90681
0.35	0.34947	0.71923	0.91176
0.36	0.35956	0.72971	0.9172
0.37	0.36933	0.73992	0.92211
0.38	0.37929	0.74969	0.92709
0.39	0.38901	0.75935	0.93164
0.4	0.39896	0.76845	0.93581
0.41	0.40895	0.77732	0.93994
0.42	0.41931	0.78595	0.94352
0.43	0.42963	0.79451	0.94726
0.44	0.43969	0.80303	0.95055
0.45	0.44993	0.81127	0.95392
0.46	0.46021	0.81891	0.95681
0.47	0.47082	0.82619	0.95964
0.48	0.48122	0.83316	0.96233
0.49	0.49146	0.84044	0.96472
0.5	0.501	0.84718	0.96693
0.51	0.51115	0.85342	0.96914
0.52	0.52081	0.85998	0.97131
0.53	0.53105	0.8666	0.97346
0.54	0.54186	0.87331	0.97542
0.55	0.55212	0.87957	0.97721
0.56	0.56217	0.8854	0.97887
0.57	0.57237	0.89165	0.98049
0.58	0.58199	0.89723	0.98216
0.59	0.59181	0.90266	0.98356
0.6	0.60202	0.90797	0.98499
0.61	0.61201	0.91273	0.98633
0.62	0.62198	0.9172	0.98758
0.63	0.63184	0.92213	0.98858
0.64	0.64203	0.92651	0.98958
0.65	0.652	0.93072	0.99045
0.66	0.66215	0.93486	0.99133
0.67	0.6717	0.93891	0.99205
0.68	0.68152	0.94278	0.99275
0.69	0.69185	0.94669	0.99348
0.7	0.70136	0.95038	0.99422
0.71	0.71172	0.95388	0.99469
0.72	0.7212	0.95704	0.99525
0.73	0.73156	0.96029	0.99572
0.74	0.74096	0.96331	0.99607
0.75	0.75081	0.96637	0.99647
0.76	0.76045	0.96924	0.99682
0.77	0.77075	0.972	0.99728
0.78	0.78074	0.97446	0.99766
0.79	0.79028	0.97691	0.99798
0.8	0.8006	0.979	0.9982
0.81	0.81044	0.98098	0.99854
0.82	0.82042	0.983	0.99876
0.83	0.83064	0.98484	0.99894
0.84	0.84051	0.98673	0.99912
0.85	0.85103	0.98839	0.99933
0.86	0.8606	0.98981	0.99946
0.87	0.87043	0.99124	0.99953
0.88	0.88056	0.99265	0.99958
0.89	0.89078	0.99382	0.99965
0.9	0.90076	0.99482	0.99977
0.91	0.91073	0.99611	0.99987
0.92	0.92082	0.99708	0.99991
0.93	0.93075	0.99786	0.99996
0.94	0.94039	0.99852	1.0
0.95	0.95061	0.99899	1.0
0.96	0.96045	0.99934	1.0
0.97	0.97015	0.99969	1.0
0.98	0.97996	0.99988	1.0
0.99	0.99032	0.99996	1.0
1.0	1.0	1.0	1.0
